valid|entry|cnt_words|pronounce|syllabary|english|mco
*|ᎣᏂ|2|Ohni uluhjvi.|ᎣᏂ ᎤᎷᏨᎢ.|He came afterwards.|O:hni ù:lúhjv̌:ɂi.
*|ᏓᏲᏍᎦ|2|Tiyohi jisdu.|ᏘᏲᎯ ᏥᏍᏚ.|Let the rabbit go.|Tí:yohi ji:sdu.
*|ᎤᏟ|2|Udli hwilohi.|ᎤᏟ ᏫᎶᎯ.|Go away.|Udli hwilǒ:hi.
*|ᎠᏑᎠ|2|Asusdi gasua.|ᎠᏑᏍᏗ ᎦᏑᎠ.|I am sopping gravy.|Asú:sdi gà:sú:ɂa.
*|ᎠᏯᏄᎵ|2|Ayanuli aisvi.|ᎠᏯᏄᎵ ᎠᎢᏒᎢ.|He was walking fast.|A:yanű:li á:ɂi:sv̌:ɂi.
*|ᎣᏏᏲ|2|Osiyo. Tohiju?|ᎣᏏᏲ. ᏙᎯᏧ?|Hello. It is well. Right?|O:síyo. Tò:hi̋:ju?; Síyo. Tò:hi̋:ju?
*|ᎤᏔᏕᎩᎠ|2|Ama aktadegia.|ᎠᎹ ᎠᎩᏔᏕᎩᎠ.|I am thirsty for water.|Ama à:ktade:gí:ɂa.
*|ᎠᏂᎾ|2|Ehlawe aninvi.|ᎡᏝᏪ ᎠᏂᏅᎢ.|They sat quietly.|E:hlawe̋:ɂi à:níɂnv̌:ɂi.
*|ᏞᏍᏗ|2|Hlesdi yijanegujesdi.|ᏞᏍᏗ ᏱᏣᏁᎫᏤᏍᏗ.|Don't be mean.|hlè:sdi yijaně:gû:jé:sdi.;hè:sdi yijaně:gû:jé:sdi.
*|ᎫᎫᎢ|2|Jedolvis Gugu?|ᏤᏙᎸᎢᏍ ᎫᎫ?|Have you been to Bartlesville?|Jě:dô:lv̌:ɂisgo gù:gu?; Jě:dô:lv̌:ɂis gù:gu?
*|ᎦᏄᎸ|2|Ganulv agalsga.|ᎦᏄᎸ ᎠᎦᎵᏍᎦ.|He is mowing the grass.|Ganǔ:lv á:gà:lsdi.
*|ᏩᎶᏏ|2|Walosi naniwea.|ᏩᎶᏏ ᎾᏂᏪᎠ.|The frogs are croaking.|Waló:si nà:niweɂa.
*|ᏪᏌ|2|Wesas higowhti?|ᏪᏌᏍ ᎯᎪᏩᏘ?|Did you see a cat?|Wě:sasgo hi:gòwhtí?; Wě:sas hi:gòwhtí?
*|ᎤᏚᎭ|2|Amayi agwaduha.|ᎠᎹᏱ ᎠᏆᏚᎭ.|I am standing in the water.|Amǎ:yi à:gwadúha.
*|ᎤᎯᏌᏔ|2|Gadohi uhisata.|ᎦᏙᎯ ᎤᎯᏌᏔ.|There's dew on the ground|Ga:dő:hi ù:hí:sata.
*|ᎠᎪᏩᏘᎭ|2|Hlas hyigowhti?|ᏝᏍ ᏱᎪᏩᏘ?|Don't you see it?|Vtlasgo hyigowhtíha?; Hlas hyigowhtí?
*|ᎪᎳ|2|Jalvkwdis gola?|ᏣᎸᏉᏗᏍ ᎪᎳ?|Do you like winter?|Jalv̌:kwdisgo gő:la?; Jalv̌:kwdis gő:la?
*|Ꮭ|2|Jayosihas? Hla.|ᏣᏲᏏᎭᏍ? Ꮭ.|Are you hungry? No.|Jayó:sihasgo? Tla.; Jayó:sihas? Hla.
*|ᎠᎵᏟᎭ|2|Kahwi alidliha.|ᎧᏫ ᎠᎵᏟᎭ.|The coffee is boiling.|Kǎ:hwi à:lidlíha.
*|ᎠᏐᏅᏍᏗᎭ|2|Sdaya hasonsda.|ᏍᏓᏯ ᎭᏐᏅᏍᏓ.|Press down on it hard.|Sda̋:ya ha:sò:nsda.; Sda̋:yi ha:sò:nsda.; Sda̋:i ha:sò:nsda.
*|ᎠᏛᏍᎦ|2|Udohiyu atvsga.|ᎤᏙᎯᏳ ᎠᏛᏍᎦ.|He is really growing.|U:do:hiyű à:tvsga.; Do:hiyu à:tvsga.; Do:yű à:tvsga.
*|ᎠᎪᎾ|2|Agonas jalosvhi?|ᎠᎪᎾᏍ ᏣᎶᏒᎯ?|Have you gone through famine?|Ago:nasgo jalo:sv̌:hi?; Ago:nas jalo:sv̌:hi?
*|ᏥᏳᎪᏗ|2|Jiyukdi hwilohi.|ᏥᏳᎪᏗ ᏫᎶᎯ.|Go straight ahead.|Ji:yű:kdi hwilǒ:hi.
*|ᎧᏃᎯᏯᎭ|2|Aseis hinohiyei?|ᎠᏎᎢᏍ ᎯᏃᎯᏰᎢ?|Did you omit him on purpose?|A:sé:ɂisgo hihnǒ:hí:yé:ɂi?; A:sé:ɂis hihnǒ:hí:yé:ɂi?
*|ᎤᏰᏘᏍᎦ|2|Gado jijayetsga?|ᎦᏙ ᏥᏣᏰᏘᏍᎦ?|Why are you laughing?|Gadò jijaye:tsga?; Dò jijaye:tsga?
*|ᎤᎵᏰᏗᎭ|2|Gado juliyediha?|ᎦᏙ ᏧᎵᏰᏗᎭ?|Why is he moaning?|Gadò ù:lǐ:yê:di:ha?; Dò ù:lǐ:yê:di:ha?; Gadò ù:lǐ:yê:di?; Dò ù:lǐ:yê:di?
*|ᎤᏂᎭ|2|Gayulas jahniha?|ᎦᏳᎳᏍ ᏣᏂᎭ?|Are you already in bed?|Gá:yu:la jǎ:hníha?
*|ᎤᏗᏍᎦᏝ|2|Hadlv udisgahla?|ᎭᏢ ᎤᏗᏍᎦᏝ?|Where is he hiding?|Ha:dlv ù:di:sgáhla?
*|ᎦᎸᎶᎢ|2|Galvlo sakonigei.|ᎦᎸᎶ ᏌᎪᏂᎨᎢ.|The Sky is blue.|Galv:lő:ɂi sakǒ:níge̋:ɂi.; Galv:lő sakǒ:níge̋:ɂi.
*|ᎩᏄᏘᏗ|2|Ginutdi ksdolsda.|ᎩᏄᏘᏗ ᏍᎩᏙᎵᏍᏓ.|Lend me a quarter.|Gi:nű:tdi ksdolsda.
*|ᎣᏏᏊ|2|Osigwus jadanhta?|ᎣᏏᏊᏍ ᏣᏓᏅᏔ?|Do you feel all right?|O:sǐ:gwusgo jadanhta?; O:sǐ:gwus jadanhta?
*|ᎤᏴᏜ|2|Uhyvdlas hihnegi?|ᎤᏴᏜᏍ ᎯᏁᎩ?|Do you vote Republican?|U:hyv̋:dlasgo hihné:gi?; U:hyv̋:dlas hihné:gi?
*|ᎤᏦᏍᏗ|2|Ujosdi duwohwela.|ᎤᏦᏍᏗ ᏚᏬᏪᎳ.|His handwriting is confusing.|U:jő:sdi dù:wo:hwě:la̋.
*|ᎤᏪᎳ|2|Uwela gvhnisdiha.|ᎤᏪᎳ ᎬᏂᏍᏗᎭ.|He is cooking liver.|Uwe:la gv:hnisdíha.; Uwe:la gv:hnisdí.
*|ᎥᏓᎵ|2|Vdali inasuhnuga.|ᎥᏓᎵ ᎢᎾᏑᏄᎦ.|Let's both go fishing at the pond.|V:dali ì:nasǔ:hnú:ga.
*|ᎠᏕᏲᎭ|2|Adanelv gadeyoha.|ᎠᏓᏁᎸ ᎦᏕᏲᎭ.|I am circling a building.|À:da:ně:lv̋:ɂi ga:de:yoha.; À:da:ně:lv ga:de:yoha.; À:da:ně:lv̋ ga:de:yo.
*|ᎠᏍᎪᏍᎦ|2|Amahldi gasgosga.|ᎠᎹᏢᏗ ᎦᏍᎪᏍᎦ.|I am digging a water well.|Amáhldi̋:ɂi gà:sgǒ:sga.; Amáhldi̋ gà:sgǒ:sga.
*|ᎠᏤᎸᏍᎦ|2|Ayvwiya ajelvsga.|ᎠᏴᏫᏯ ᎠᏤᎸᏍᎦ.|He is acting like an Indian.|Ayv:wi:ya̋:ɂi à:je:lv:sga.; Ayv:wi:ya̋ à:je:lv:sga.
*|ᎠᏑᎲᏍᎦ|2|Hadlvyv asuhvsga?|ᎭᏢᏴ ᎠᏑᎲᏍᎦ?|Where is he fishing?|Ha:dlv iyv̋:ɂi à:sǔ:hv́sga?; Ha:dlv iyv̋ à:sǔ:hv́sga?; Ha:dlv̌:yv̋ à:sǔ:hv́sga?
*|ᎦᏃᎯᎵ|2|Jiyu ganohilvsda.|ᏥᏳ ᎦᏃᎯᎸᏍᏓ.|An airplane just flew by.|Jǐ:yu gano:hǐ:lv̂:sda.
*|ᎠᏯᎨᏗᏍᎦ|2|Nuna tihyahketsa.|ᏄᎾ ᏘᏯᎨᏗᏌ.|Peel some potatoes.|Nǔ:na tihyahkě:tsa.
*|ᎠᏓᎨᏳᏗ|2|Adageyhdi ulsgeda.|ᎠᏓᎨᏴᏗ ᎤᎵᏍᎨᏓ.|Love is important.|Ada:geyhdi ulsge̋:da.
*|ᎠᏟᎶᏍᏗ|2|Ahlilosdi esgidisi|ᎠᏟᎶᏍᏗ ᎡᏍᎩᏗᏏ|Hand me a ruler.|Ahli:lő:sdi e:sgi:dì:si.
*|ᎠᎵᏌᎳᏗᎠ|2|Halsaladvga hlega.|ᎭᎵᏌᎳᏛᎦ ᏞᎦ.|Raise up awhile.|Halsaladv̀:ga hle̋:ga.
*|ᎠᎵᎢᏗᎠ|2|Inaliida hayelsdi.|ᎢᎾᎵᎢᏓ ᎭᏰᎵᏍᏗ.|Let's both trade knives.|Ì:na:liɂǐ:da hayelsdi.; Ì:na:liɂǐ:da ahyelsdi.
*|ᏣᎳᎩ|2|Jalagis hiwonisgi?|ᏣᎳᎩᏍ ᎯᏬᏂᏍᎩ?|Are you a Cherokee speaker?|Jalagisgo hiwó:ni:sgi?; Jalagis hiwó:ni:sgi?
*|ᎤᎧᏲᏛᎢ|2|Ukahyodv haisesdi.|ᎤᎧᏲᏛ ᎭᎢᏎᏍᏗ.|Walk on a dry place.|U:ka:hyő:dv̋:ɂi há:ɂi:sésdi.; U:ka:hyő:dv̋ há:ɂi:sésdi.
*|ᎤᏂᏏ|2|Unisi utvhistanvi.|ᎤᏂᏏ ᎤᏛᎯᏍᏔᏅᎢ.|His grandfather raised him.|U:nǐ:si ù:tvhistanv́:ɂi.; U:nǐ:si ù:tvhistanv́.
*|ᎠᏣᎥᏍᎦ|2|Dagwalelu hajavga.|ᏓᏆᎴᎷ ᎭᏣᎥᎦ.|Get in the car|Dagwalé:lu hajaɂv̀:ga.;Dagwalé:la hajaɂv̀:ga.
*|ᏩᎦᏘ|2|Digaduhv wijigati.|ᏗᎦᏚᎲ ᏫᏥᎦᏘ.|I'm heading for town.|Diga:dú:hv̋:ɂi wijigâ:ti.; Diga:dú:hv̋ wijigâ:ti.
*|ᎠᏌᎳᏗᎠ|2|Jolani hisaladvga.|ᏦᎳᏂ ᎯᏌᎳᏛᎦ.|Raise the window.|Jǒ:lani hì:saladv̀:ga.
*|ᎤᎬᏫᏳᎯ|2|Jolhgis Ugvwiyuhi?|ᏦᎵᎩᏍ ᎤᎬᏫᏳᎯ?|Does the chief know you?|Jőhlgisgo u:gv:wiyu:hi?; Jőhlgis u:gv:wiyu:hi?
*|ᏓᏟᎶᏍᏗᎭ|2|Yona duhlilostanvi|ᏲᎾ ᏚᏟᎶᏍᏔᏅᎢ?|He drew a picture of a bear.|Yǒ:na dù:hli:ló:stanv̌:ɂi.; Yǒ:na dù:hli:ló:stanv̌.
*|ᎠᎹᏱ|2|Amayi witahltaduga.|ᎠᎹᏱ ᏫᏔᎵᏔᏚᎦ.|Jump into the water.|Amǎ:yi witáhltadù:ga.
*|ᎠᏚᎩᏍᏗ|2|Atugisdi unehnelvi.|ᎠᏚᎩᏍᏗ ᎤᏁᏁᎸᎢ.|He gave him an alcoholic drink.|Atǔ:gi̋:sdi ù:ne:hně:lv́:ɂi.; Atǔ:gi̋:sdi ù:ne:hně:lv́.
*|ᎠᏖᎵᏙ|2|Ditelido degvdiyea.|ᏗᏖᎵᏙ ᏕᎬᏗᏰᎠ.|He is washing plates.|Di:te:lǐ:do de:gv́:dǐ:yéɂa.; Di:te:lǐ:do de:gv́:dǐ:yé.
*|ᏓᏓᏂᎸᎦ|2|Dodvdanilvjis heli?|ᏚᏛᏓᏂᎸᏥᏍ ᎮᎵ?|Do you think he is going to accept?|Do:dv:dani:lv́:jisgo he:líɂa?; Do:dv:dani:lv́:jisgo he:lí?; Do:dv:dani:lv́:jis he:lí?;
*|ᎦᎶᏇ|2|Galogwe ganvgaliha.|ᎦᎶᏇ ᎦᏅᎦᎵᎭ.|He is cleaning a gun.|Galò:gwe ganv:galíha.; Galò:gwe ganv:galí.
*|ᎦᎸᎳᏗᎨᎢ|2|Galvladige hwiloga.|ᎦᎸᎳᏗᎨ ᏫᎶᎦ.|Climb up higher.|Galv̌:ládige̋:ɂi hwiɂlò:ga.; Galv̌:ládige̋ hwiɂlò:ga.
*|ᎤᏅᏏᏴᎢ|2|Uhnvsiyv hwalehvga.|ᎤᏅᏏᏴ ᏩᎴᎲᎦ.|Go stand in the corner.|Ù:hnv́:si:yv̋:ɂi hale:hv̀:ga.; Ù:hnv́:si:yv̋ hale:hv̀:ga.
*|ᎤᎦᏑᏘ|2|Unaksuti aninayegi.|ᎤᎾᎦᏑᏘ ᎠᏂᎾᏰᎩ.|Diamondback rattlers are dangerous.|U:naksú:ti anǐ:nayè:gi.
*|ᎤᎾᎳᏍᎦᎵᏗᎢ|2|Unalasgahldi idena.|ᎤᎾᎳᏍᎦᎸᏗ ᎢᏕᎾ.|Let's all go to the ball field.|U:nalà:sgáhldi̋:ɂi ì:dè:na.; U:nalà:sgáhldi̋ ì:dè:na.
*|ᎤᎿᏑᎦ|2|Unihnasuga degadea.|ᎤᏂᎿᏑᎦ ᏕᎦᏕᎠ.|He's picking some possum grapes.|U:ni:hnà:sǔ:ga de:gadé:ɂa.
*|ᎤᏍᏉᏟᎢ|2|Usgwohli asgoliyea.|ᎤᏍᏉᏟ ᎠᏍᎪᎵᏰᎠ.|He's rubbing his stomach.|U:sgwo:hli̋:ɂi à:sgo:lǐ:yéɂa.; U:sgwo:hli̋ à:sgo:lǐ:yéɂa.; U:sgwo:hli̋ à:sgo:lǐ:yé.
*|ᏗᏎᏍᏗ|2|Dehiktahas disesdi?|ᏕᎯᎦᏔᎭᏍ ᏗᏎᏍᏗ?|Do you know your numbers?|De:hiktahasgo di:sésdi?; De:hiktahas di:sésdi?
*|ᎦᏅᎦ|2|Eladigwu jinvgesdi.|ᎡᎳᏗᏊ ᏥᏅᎨᏍᏗ.|I'll just lie on the floor.|E:ladigwu jinv́:gé:sdi.
*|ᎠᏍᏛᎭᏢᏍᎦ|2|Gadui usdvhahlanvi.|ᎦᏚᎢ ᎤᏍᏛᎭᏝᏅᎢ.|He sandwiched it between the bread.|Ga̋:duɂi ù:sdv̌:háhlanv̌:ɂi.; Ga̋:duɂi ù:sdv̌:háhlanv̌.
*|ᎠᏴᏍᏕᎷᎲᏍᎦ|2|Gago uhyvsdeluhnei?|ᎦᎪ ᎤᏴᏍᏕᎷᏁᎢ?|Who hit him on the nose?|Gá:gō ù:hyv̌:sdé:lu:hné:ɂi?; Gá:gō ù:hyv̌:sdé:lu:hné?
*|ᎦᏁᏟᏴᎠ|2|Gagwatv jinedliyva.|ᎦᏆᏛ ᏥᏁᏟᏴᎠ.|I am changing the wheel.|Gá:gwatdi jině:dlí:yvɂa.; Gá:gwatv jině:dlí:yvɂa.
*|ᎠᏠᏱᎭ|2|Hlesdi jadlohyilvi.|ᏞᏍᏗ ᏣᏠᏱᎸᎢ.|Don't cry.|Hlè:sdi jadlo:hyílv:ɂi.; Hè:sdi jadlo:hyílv:ɂi.
*|ᏕᎫᎪᏗᎭ|2|Uhlisdi duwuktanvi.|ᎤᏟᏍᏗ ᏚᏭᎪᏔᏅᎢ.|He decided too quickly.|Ù:hlǐ:sdi̋ dù:wu:ktánv́:ɂi.; Ù:hlǐ:sdi̋ dù:wu:ktánv́.
*|ᏓᏈᏌᏂ|2|Dakwsani dijalvkwdi?|ᏓᏈᏌᏂᏍ ᏗᏣᎸᏉᏗ?|Do you like turnips?|Dakwsáni dijalv̌:kwdi?
*|ᎦᎶᎯᏍᏗᎢ|2|Galohisdi wuktvlesv.|ᎦᎶᎯᏍᏗ ᏭᎦᏛᎴᏒ.|He went through the doorway.|Galo:hisdi̋:ɂi wù:ktv́:le:sv̌:ɂi.; Galo:hisdi̋ wù:ktv́:le:sv̌.
*|ᏥᏍᏛᎾ|2|Jisdvna digihyaluga.|ᏥᏍᏛᎾ ᏗᎩᏯᎷᎦ.|Let's all go look for crawdads.|Jí:sdv:na dì:gihyalú:ga.
*|ᎩᎳᏊ|2|Kilagwu widadiluhji.|ᎩᎳᏊ ᏫᏓᏗᎷᏥ.|We'll all get there pretty soon.|Kilágwu wida:dilúhji.
*|ᏓᎾᎦᎴᏂᎭ|2|Gadohv dunagalenvhe?|ᎦᏙᎲ ᏚᎾᎦᎴᏅᎮᎢ?|Why did they separate?|Gadò:hv́ dù:nagale:nv:hé:ɂi?; Gadò:hv́ dù:nagale:nv:hé?
*|ᎠᏓᏬᎠ|2|Jalvkwdis jadawosdi?|ᏣᎸᏉᏗᏍ ᏣᏓᏬᏍᏗ?|Do you like to swim?|Jalv̌:kwdisgo jadawò:sdi?; Jalv̌:kwdis jadawò:sdi?
*|ᎤᎧᏛᎯ|2|Udihlehgigwu ukatvi.|ᎤᏗᎴᎩᏊ ᎤᎧᏛᎢ.|His face is just hot.|Ù:di:hlehgigwu ù:katv̋:ɂhi.
*|ᎤᏁᎦᎸᎢ|2|Ugohnvigwu unegalvi.|ᎤᎪᏅᎢᏊ ᎤᏁᎦᎸᎢ.|His skin is just burned|Ù:gohnv̌:ɂigwu Ù:né:gaɂlv̋:ɂi.; Ù:gohnv̌:gwu Ù:né:gaɂlv̋.
*|ᎦᎵᏦᏕ|2|Gahljode daganesgehi.|ᎦᎵᏦᏕ ᏓᎦᏁᏍᎨᎯ.|I am going to build a house.|Gahljǒ:de da:gà:né:sge:hi.
*|ᎧᏁᎢᏍᏗᎭ|2|Jakineistanv gelisgv.|ᏣᎩᎢᏁᎢᏍᏔᏅ ᎨᎵᏍᎬ.|I thought I mentioned it.|Jà:kiné:ɂistánv̋́:ɂi gè:lî:sgv́.; Jà:kiné:ɂistánv̋́ gè:lî:sgv́.
*|ᎤᏍᏗᏁᎦᎸᎢ|2|Usdinegalv adlagosga.|ᎤᏍᏗᏁᎦᎸ ᎠᏜᎪᏍᎦ.|He's scratching his scalp.|ù:sdiné:gaɂlv̋:ɂi à:dlagǒ:sga.; ù:sdiné:gaɂlv̋ à:dlagǒ:sga.
*|ᎤᏬᏝᎥᎢ|2|Uwohlavi dayudetinvi.|ᎤᏬᏝᎥᎢ ᏓᏳᏕᏘᏅᎢ.|He dived from a bluff.|ù:wohláɂv̋:ɂi da:yù:dě:tínv́:ɂi.; ù:wohláɂv̋ da:yù:dě:tínv́:ɂi.; ù:wohláɂv̋ da:yù:dě:tínv́.
*|ᎦᎾᏫᏗᎭ|2|Gasalenis tinawidvhi?|ᎦᏌᎴᏂᏍ ᏘᎾᏫᏛᎯ?|Are you going to take a coat?|gà:salě:nisgo tinâ:wi:dv:hi?; gà:salě:nis tinâ:wi:dv:hi?
*|ᏗᎪᏪᎵ|2|Digohweli dejigoliyea.|ᏗᎪᏪᎵ ᏕᏥᎪᎵᏰᎠ.|I am reading a book.|digo:hwe:li de:jigo:lǐ:yéɂa.; digo:hwe:li de:jigo:lǐ:yé.
*|ᎠᎵᏰᏑᎶ|2|Diliyesulo dagiyohusi.|ᏗᎵᏰᏑᎶ ᏓᎩᏲᎱᏏ.|I lost some gloves.|di:liyè:su:lo dà:giyo:hǔ:sī.
*|ᏅᏩᏙᎯᏯᏓ|2|Nvwhtohiyada idehesdi.|ᏅᏩᏙᎯᏯᏓ ᎢᏕᎮᏍᏘ.|Let's all live in peace.|nvwhto:hi:yada ì:dihé:sdi.
*|ᎤᏬᏘᏓ|2|Uwotida agitsgwalvtvi.|ᎤᏬᏘᏓ ᎠᎩᏥᏆᎸᏛᎢ.|My ankle is swollen.|uwǒ:tida à:gitsgwalv:tv̋:ɂi.; uwǒ:tida à:gitsgwalv:tv̋.
*|ᏓᎧᏃᏩᏗᏙᎭ|2|Gago dejakanowadidoha?|ᎦᎪ ᏕᏣᎧᏃᏩᏗᏙᎭ?|Who is looking after you?|gá:gō de:jakà:no:wadǐ:dô:ha?
*|ᏧᎦᏃᏥ|2|Gahisgahos juniganoji?|ᎦᎯᏍᎦᎰᏍ ᏧᏂᎦᏃᏥ?|Are you afraid of centipedes?|gà:hi:sgaɂihó:ɂisgo ju:ganò:ji?; gà:hi:sgaɂihó:ɂis ju:ganò:ji?; gà:hi:sgaɂihó:sgo ju:ganò:ji?; gà:hi:sgaɂihó:s ju:ganò:ji?
*|ᎤᏪᎵᎯᎠ|2|Hlesdi yijelihisgesdi.|ᏞᏍᏗ ᏱᏤᎵᎯᏍᎨᏍᏗ.|Don't worry.|hlè:sdi yije:lǐ:hî:sgé:sdi.; hè:sdi yije:lǐ:hî:sgé:sdi.
*|ᏗᏓᏍᏚᏗᎢ, ᏧᎾᏓᏍᏚᏗᎢ|2|Jayvhlvis junadasdudi?|ᏣᏴᏢᎢᏍ ᏧᎾᏓᏍᏚᏗ?|Have you been in jail?|Jayv:hlv̌:ɂisgo ju:nada:sdù:diɂi?; Jayv:hlv̌:ɂis ju:nada:sdù:diɂi?; Jayv:hlv̌:ɂis ju:nada:sdù:di?
*|ᎠᎵᏍᏇᏚᎩᎠ|2|Halsgwetuhgi. Jigoliya.|ᎭᎵᏍᏇᏚᎩ. ᏥᎪᎵᏯ.|Take your hat off. Let me look at it.|halsgwè:tuhgi. jigo:lǐ:ya.
*|ᎤᏞᎦ|2|Udlejv ajilonuehla.|ᎤᏞᏨ ᎠᏥᎶᏄᎡᏝ.|He took revenge when he was cheated.|ù:dlé:jv̌:ɂi à:jilo:nu:hě:hla.; ù:dlé:jv̌ à:jilo:nu:hě:hla.
*|ᏄᎳ|2|Nula, daginigohniyojis.|ᏄᎳ, ᏓᎩᏂᎪᏂᏲᏥᏍ.|Hurry. Will we be late?|nű:la. da:ginigo:hnǐ:yô:jisgo?; nű:la. da:ginigo:hnǐ:yô:jis?
*|ᎠᏕᎶᎰᏍᎦ|2|Udelohosv ajilonuesgvi.|ᎤᏕᎶᎰᏒ ᎠᏥᎶᏄᎡᏍᎬᎢ.|He found out that he was being cheated.|ù:de:loho:sv̌:ɂi à:jilo:nu:hě:sgv̌:ɂi.; ù:de:loho:sv̌ a`:jilo:nu:hě:sgv̌:ɂi.; ù:de:loho:sv̌ a`:jilo:nu:hě:sgv̌.
*|ᎦᏛᏍᎦ|2|Didahlilostanv gatvsga.|ᏗᏓᏟᎶᏍᏔᏅ ᎦᏛᏍᎦ.|He's hanging up a picture.|Di:da:hli:lò:stanv̋:ɂi gatv́sga.; Di:da:hli:lò:stanv̋ gatv́sga.
*|ᎤᏴᏥᏅᏗᎦ|2|Hlesdi jichayvhjinvtsi.|ᏞᏍᏗ ᏥᏣᏴᏥᏅᏘᏏ.|Don't choke on it.|Hlè:sdi ji:chayvhjinv:tgi.; Hè:sdi ji:chayvhjinv:tgi.; Hlè:sdi ji:chayvhjinv:tsi.; Hè:sdi ji:chayvhjinv:tsi.
*|ᏓᎿᏬᎠ|2|Judanvgalvda tahnawoja.|ᏧᏓᏅᎦᎸᏓ ᏔᎿᏬᏣ.|Put on some clean clothes.|Ju:danv:galv̋:da tahnáwo:ja.
*|ᎦᏰᎪᎩ|2|Gayhgogi kanohehlidohoi.|ᎦᏴᎪᎩ ᎧᏃᎮᏟᏙᎰᎢ.|He goes around telling lies.|Gayhgò:gi kano:hě:hlǐ:dô:hó:ɂi.
*|ᎠᎴᏫᏍᏙᏗᎭ|2|Halehwisdohda dagwalela.|ᎭᎴᏫᏍᏙᏓ ᏓᏆᎴᎳ.|Stop the car.|Hale:hwisdohda dagwalé:la.
*|ᎠᏕᎰᎯᏍᏗᎭ|2|Udehohisdohdi anehldiha.|ᎤᏕᎰᎯᏍᏙᏗ ᎠᏁᏟᏗᎭ.|He's trying to embarrass him.|U:de:hǒ:hísdohdi á:nehldíha.; U:de:hǒ:hísdohdi á:nehldí.
*|ᎠᏴᏓᏆᎶᎠ|2|Hatvgias ahyvdagwalosgv?|ᎭᏛᎩᎠᏍ ᎠᏴᏓᏆᎶᏍᎬ?|Do you hear it thundering?|À:tv:gí:ɂasgo à:hyv:dagwálô:sgv?; À:tv:gí:ɂas à:hyv:dagwálô:sgv?
*|ᎠᎵᏥᏈᏍᎦ|2|Hlesdi hyaljikwidohesdi.|ᏞᏍᏗ ᏯᎵᏥᏈᏙᎮᏍᏗ.|Don't go around spitting.|Hlè:sdi hyaljí:kwǐ:dô:hé:sdi.; Hlè:sdi hyaljí:kwǐ:dô:hé:sdi.
*|ᏚᏴᏍᏙᏯᏍᎦ|2|Kosdu dakiyvsdoysdisgoi.|ᎪᏍᏚ ᏓᎩᏴᏍᏙᏯᏍᏗᏍᎪᎢ.|Dust makes me sneeze.|Kò:sdu dà:kiyv̌:sdô:ysdi:sgó:ɂi.; Kò:sdu dà:kiyv̌:sdô:ysdi:sgó.
*|ᎤᏚᎵᎭ|2|Udawesolvsdohdi uduliha.|ᎤᏓᏪᏐᎸᏍᏙᏗ ᎤᏚᎵᎭ.|He wants to rest.|U:dawè:sǒ:lv́:sdohdi ù:du:líha.
*|ᎧᎾᏍᏕᏟᎭ|2|Dekanasdedliha duwaihlvi.|ᏕᎧᎾᏍᏕᏟᎭ ᏚᏩᎢᏢᎢ.|He's rooting out bushes.|De:kanâ:sde:dlíha dù:wá:ɂihlv̋:ɂi.; De:kanâ:sde:dlí dù:wá:ɂihlv̋:ɂi.; De:kanâ:sde:dlí dù:wá:ɂihlv̋.
