NEEDS_FIXING,PRONOUNCE,SYLLABARY
,gadō jű:sd nv̀:ya?,ᎦᏙ ᏧᏍᏗ ᏅᏯ?
,gadō jű:sd nǔ:n?,ᎦᏙ ᏧᏍᏗ ᏄᎾ?
,gadō u:sd higowhtí?,ᎦᏙ ᎤᏍᏗ ᎯᎪᏩᏘ?
,gadō u:sd julsǔ:hwid na nǔ:n?,ᎦᏙ ᎤᏍᏗ ᏧꮅᏑᏫᏓ Ꮎ ᏄᎾ?
,gadō u:sd u:nalsǔ:hwid na ji:sd?,ᎦᏙ ᎤᏍᏗ ᎤᎾꮅᏑᏫᏓ Ꮎ ᏥᏍᏚ?
,gadō u:sd ulsǔ:hwid na gi:hli?,ᎦᏙ ᎤᏍᏗ ᎤᎵᏑᏫᏓ Ꮎ ᎩᏟ?
,gadō u:sd áhni?,ᎦᏙ ᎤᏍᏗ ᎠᏂ?
,gadō u:sdi higowhtíha?,ᎦᏙ ᎤᏍᏗ ᎯᎪᏩᏘᎭ?
,gadō à:dv́:ne achű:j?,ᎦᏙ ᎠᏛᏁ ᎠᏧᏣ?
,gadō à:dv́:ne age:hyű:j?,ᎦᏙ ᎠᏛᏁ ᎠᎨᏳᏣ?
,gadō à:na:dv́:ne ani:chű:j?,ᎦᏙ ᎠᎾᏛᏁ ᎠᏂᏧᏣ?
,gadō ű:sd asgaya?,ᎦᏙ ᎤᏍᏗ ᎠᏍᎦᏯ?
,gadō űnsd ani:sgaya?,ᎦᏙ ᎤᎾᏍᏗ ᎠᏂᏍᎦᏯ?
,gadō űnsdi ani:gě:hya?,ᎦᏙ ᎤᎾᏍᏗ ᎠᏂᎨᏯ?
,gadō űnsdi ani:sgaya?,ᎦᏙ ᎤᎾᏍᏗ ᎠᏂᏍᎦᏯ?
,gahlgwǒ:g ani:ge:hyű:j,ᎦꮅᏉᎩ ᎠᏂᎨᏳᏣ
,gawò:nǐ:hísd,ᎦᏬᏂᎯᏍᏗ
,ge:jagowhtí na ani:chű:j.,ᎨᏣᎪᏩᏘ Ꮎ ᎠᏂᏧᏣ.
,ge:jagowhtíha,ᎨᏣᎪᏩᏘᎭ
,ge:jagowhtíha na ani:chű:ja.,ᎨᏣᎪᏩᏘᎭ Ꮎ ᎠᏂᏧᏣ.
,gi:hli dà:gowhtí asgaya,ᎩᏟ ᏓᎪᏩᏘ ᎠᏍᎦᏯ
,gi:hli dà:gowhtíha asgaya,ᎩᏟ ᏓᎪᏩᏘᎭ ᎠᏍᎦᏯ
,gi:hli ji:gowhtí,ᎩᏟ ᏥᎪᏩᏘ
,gi:hli ji:gowhtíha,ᎩᏟ ᏥᎪᏩᏘᎭ
,go:hű:sd ő:sd jigowhtí,ᎪᎱᏍᏗ ᎣᏍᏓ ᏥᎪᏩᏘ
,go:hű:sdi ő:sda jigowhtíha,ᎪᎱᏍᏗ ᎣᏍᏓ ᏥᎪᏩᏘᎭ
,go:hwe:l jigowhtí,ᎪᏪꮅ ᏥᎪᏩᏘ
,go:hwe:li jigowhtíha,ᎪᏪᎵ ᏥᎪᏩᏘᎭ
,go:hű:sd,ᎪᎱᏍᏗ
,go:hű:sd dù:na:du:lí,ᎪᎱᏍᏗ ᏚᎾᏚᎵ
,go:hű:sd ù:na:du:lí,ᎪᎱᏍᏗ ᎤᎾᏚᎵ
,gu:le de:jigowhtí,ᎫᎴ ᏕᏥᎪᏩᏘ
,gu:le de:jigowhtíha,ᎫᎴ ᏕᏥᎪᏩᏘᎭ
,gv:gigowhtí na wahya.,ᎬᎩᎪᏩᏘ Ꮎ ᏩᏯ.
,gv:gigowhtíha,ᎬᎩᎪᏩᏘᎭ
,gv:gigowhtíha na wahaya.,ᎬᎩᎪᏩᏘᎭ Ꮎ ᏩᎭᏯ.
,gv̌:hnáge̋ sadv́:d,ᎬᎿᎨ ᏌᏛᏗ
,gv̌:níge̋ sadv́:d,ᎬᏂᎨ ᏌᏛᏗ
,gè:sv̌:g,ᎨᏒᎩ
,gè:sé:sd,ᎨᏎᏍᏓ
,gő:sd,ᎪᏍᏗ
,gő:sd ő:sd jigowhtí,ᎪᏍᏗ ᎣᏍᏓ ᏥᎪᏩᏘ
,gő:sdi ő:sda jigowhtíha,ᎪᏍᏗ ᎣᏍᏓ ᏥᎪᏩᏘᎭ
,ha:dlv na a:nijo yǒ:n?,ᎭᏢ Ꮎ ᎠᏂᏦ ᏲᎾ?
,hi:gowhtíha,ᎯᎪᏩᏘᎭ
,higowhtíha,ᎯᎪᏩᏘᎭ
,hiksgǒ:hi,ᎯᎩᏍᎪᎯ
,hisg do:ya,ᎯᏍᎩ ᏙᏯ
,hiʔas ő:sd sǒ:gwíl?,ᎯᎠᏍ ᎣᏍᏓ ᏐᏈꮅ?
,hiʔis ő:sd sǒ:gwíl?,ᎯᎢᏍ ᎣᏍᏓ ᏐᏈꮅ?
,hla achű:ja yagigowhtíha.,Ꮭ ᎠᏧᏣ ᏯᎩᎪᏩᏘᎭ.
,hla agě:hya yi̋:g. asgai.,Ꮭ ᎠᎨᏯ ᏱᎩ. ᎠᏍᎦᎢ.
,hla ani:ge:hyű:j yigv:gigowhtí,Ꮭ ᎠᏂᎨᏳᏣ ᏱᎬᎩᎪᏩᏘ
,hla ani:ge:hyű:j yigv:gigowhtí.,Ꮭ ᎠᏂᎨᏳᏣ ᏱᎬᎩᎪᏩᏘ.
,hla asgai yi̋:g. agě:hya.,Ꮭ ᎠᏍᎦᎢ ᏱᎩ. ᎠᎨᏯ.
,hla gi:hli yi̋:g. wě:s.,Ꮭ ᎩᏟ ᏱᎩ. ᏪᏌ.
,hla go:hű:sd,Ꮭ ᎪᎱᏍᏗ
,hla gő:sd,Ꮭ ᎪᏍᏗ
,hla na di:sadv́:d yidǔ:ha.,Ꮭ Ꮎ ᏗᏌᏛᏗ ᏱᏚᎭ.
,hla nà:sgi yiji:gowhtí,Ꮭ ᎾᏍᎩ ᏱᏥᎪᏩᏘ
,hla salǒ:l yige:jagowhtí,Ꮭ ᏌᎶꮅ ᏱᎨᏣᎪᏩᏘ
,hla salǒ:l yige:jagowhtí.,Ꮭ ᏌᎶꮅ ᏱᎨᏣᎪᏩᏘ.
,hla sgina yiji:gowhtí,Ꮭ ᏍᎩᎾ ᏱᏥᎪᏩᏘ
,hla tò:hi̋ yi̋g.,Ꮭ ᏙᎯ ᏱᎩ.
,hla v̀:sgi yiji:gowhtí,Ꮭ ᎥᏍᎩ ᏱᏥᎪᏩᏘ
,hla v̀:sgina yiji:gowhtí,Ꮭ ᎥᏍᎩᎾ ᏱᏥᎪᏩᏘ
,hla yagigowhtíha na achű:ja.,Ꮭ ᏯᎩᎪᏩᏘᎭ Ꮎ ᎠᏧᏣ.
,hla yijagowhtíha na yǒ:na.,Ꮭ ᏱᏣᎪᏩᏘᎭ Ꮎ ᏲᎾ.
,hla yiji:gowhtíha,Ꮭ ᏱᏥᎪᏩᏘᎭ
,hla yǒ:n áhni yi̋:g,Ꮭ ᏲᎾ ᎠᏂ ᏱᎩ
,hla yǒ:na yijagowhtíha,Ꮭ ᏲᎾ ᏱᏣᎪᏩᏘᎭ
,hla yǒ:na yijagowhtíha.,Ꮭ ᏲᎾ ᏱᏣᎪᏩᏘᎭ.
,hla áhni yi̋:g,Ꮭ ᎠᏂ ᏱᎩ
,hla ő:sd yi̋:g,Ꮭ ᎣᏍᏓ ᏱᎩ
,hla ő:sd yi̋g.,Ꮭ ᎣᏍᏓ ᏱᎩ.
,hla ő:sd yi̋gi.,Ꮭ ᎣᏍᏓ ᏱᎩ.
,hlahv ő:sd yi̋gi.,ᏝᎲ ᎣᏍᏓ ᏱᎩ.
,hlaju wahya yi̋:g?,ᏝᏧ ᏩᏯ ᏱᎩ?
,hlas ahwi yi̋:g?,ᏝᏍ ᎠᏫ ᏱᎩ?
,hluʔgv̋ jigowhtí,ᏡᎬ ᏥᎪᏩᏘ
,hluʔgv̋:ʔi jigowhtíha,ᏡᎬᎢ ᏥᎪᏩᏘᎭ
,hlʔgv̋ jigowhtí,ꮅᎬ ᏥᎪᏩᏘ
,hlʔgv̋:ʔi jigowhtíha,ꮅᎬᎢ ᏥᎪᏩᏘᎭ
,howa. go:hű:sd ő:sd,ᎰᏩ. ᎪᎱᏍᏗ ᎣᏍᏓ
,howa. gő:sd ő:sd,ᎰᏩ. ᎪᏍᏗ ᎣᏍᏓ
,ijé:ʔiyű:sdis yǒ:n?,ᎢᏤᎢᏳᏍᏗᏍ ᏲᎾ?
,jagowhtíha,ᏣᎪᏩᏘᎭ
,jagowhtíha salǒ:li.,ᏣᎪᏩᏘᎭ ᏌᎶᎵ.
,ji:gowhtíha,ᏥᎪᏩᏘᎭ
,ji:sd,ᏥᏍᏚ
,ji:sd age:hyű:j,ᏥᏍᏚ ᎠᎨᏳᏣ
,ji:sd dà:giká,ᏥᏍᏚ ᏓᎩᎧ
,ji:sd dà:giká.,ᏥᏍᏚ ᏓᎩᎧ.
,jigowhtíha,ᏥᎪᏩᏘᎭ
,joʔga:ʔd ani:ge:hyű:j áhni.,ᏦᎦᏚ ᎠᏂᎨᏳᏣ ᎠᏂ.
,joʔi:ne̋ nohj,ᏦᎢᏁ ᏃᏥ
,juwőhld digo:hwe:l,ᏧᏬꮅᏗ ᏗᎪᏪꮅ
,"já:n, dv:gv:go:hi","ᏣᏂ, ᏛᎬᎪᎯ"
,"já:n, dv:sgi:go:hi","ᏣᏂ, ᏛᏍᎩᎪᎯ"
,lí:nid ale ma:gá:l dò:gi:nadó,ᎵᏂᏓ ᎠᎴ ᎹᎦꮅ ᏙᎩᎾᏙ
,"lí:nid ale ma:gá:l, dv:sdv:go:hi","ᎵᏂᏓ ᎠᎴ ᎹᎦꮅ, ᏛᏍᏛᎪᎯ"
,"lí:nid ale ma:gá:l, dv:sgini:go:hi","ᎵᏂᏓ ᎠᎴ ᎹᎦꮅ, ᏛᏍᎩᏂᎪᎯ"
,ma:gá:l lí:nid ù:du:lí,ᎹᎦꮅ ᎵᏂᏓ ᎤᏚᎵ
,"má:gaye:t, mé:l, ale gwa:gwa dò:gadó","ᎹᎦᏰᏘ, Ꮊꮅ, ᎠᎴ ᏆᏆ ᏙᎦᏙ"
,na a:nijo yǒ:n,Ꮎ ᎠᏂᏦ ᏲᎾ
,na a:nijo yǒ:n ù:hna̋.,Ꮎ ᎠᏂᏦ ᏲᎾ ᎤᎿ.
,na ani:ge:hyű:j hla yigv:gigowhtí.,Ꮎ ᎠᏂᎨᏳᏣ Ꮭ ᏱᎬᎩᎪᏩᏘ.
,na di:sadv́:d hla yidǔ:ha.,Ꮎ ᏗᏌᏛᏗ Ꮭ ᏱᏚᎭ.
,na do:ya ulsǔ:hwid uwǒ:díge̋,Ꮎ ᏙᏯ ᎤᎵᏑᏫᏓ ᎤᏬᏗᎨ
,na gő:sd julsǔ:hwid didaha:lige̋,Ꮎ ᎪᏍᏗ ᏧꮅᏑᏫᏓ ᏗᏓᎭᎵᎨ
,na ji:sd u:nalsǔ:hwid u:ni:ne̋:g,Ꮎ ᏥᏍᏚ ᎤᎾꮅᏑᏫᏓ ᎤᏂᏁᎦ
,na nvhg gi:hli ga:hi:ya:du:lí,Ꮎ ᏅᎩ ᎩᏟ ᎦᎯᏯᏚᎵ
,na salǒ:l hla yige:jagowhtí.,Ꮎ ᏌᎶꮅ Ꮭ ᏱᎨᏣᎪᏩᏘ.
,na wahaya gv:gigowhtíha.,Ꮎ ᏩᎭᏯ ᎬᎩᎪᏩᏘᎭ.
,na wahya gv:gigowhtí.,Ꮎ ᏩᏯ ᎬᎩᎪᏩᏘ.
,na wě:s à:nő:sd.,Ꮎ ᏪᏌ ᎠᏃᏍᏓ.
,na yǒ:n achű:j já:ni dù:dó,Ꮎ ᏲᎾ ᎠᏧᏣ ᏣᏂ ᏚᏙ
,naju sadv́:d jadu:lí?,ᎾᏧ ᏌᏛᏗ ᏣᏚᎵ?
,niga̋:d ayv dv:ʔì:jv:go:hi,ᏂᎦᏓ ᎠᏴ ᏛᎢᏨᎪᎯ
,"niga̋:d nihi, dv:ʔì:jv:go:hi","ᏂᎦᏓ ᏂᎯ, ᏛᎢᏨᎪᎯ"
,"niga̋:d nihi, dv:ʔì:sgi:go:hi","ᏂᎦᏓ ᏂᎯ, ᏛᎢᏍᎩᎪᎯ"
,nihi na u:yő ji:sd!,ᏂᎯ Ꮎ ᎤᏲ ᏥᏍᏚ!
,nihi áhni ő:sd,ᏂᎯ ᎠᏂ ᎣᏍᏓ
,nvhg wahya,ᏅᎩ ᏩᏯ
,nvksgǒ:hi,ᏅᎩᏍᎪᎯ
,nó:t,ᏃᏗ
,nǔ:n dù:nǐ:ha,ᏄᎾ ᏚᏂᎭ
,nǔ:n dù:nǐ:ha.,ᏄᎾ ᏚᏂᎭ.
,nǔ:n à:gwadu:lí,ᏄᎾ ᎠᏆᏚᎵ
,nǔ:n.,ᏄᎾ.
,sadv́:d à:gowhtí,ᏌᏛᏗ ᎠᎪᏩᏘ
,sadv́:di à:gowhtíha,ᏌᏛᏗ ᎠᎪᏩᏘᎭ
,sakǒ:níge̋ sadv́:d,ᏌᎪᏂᎨ ᏌᏛᏗ
,salǒ:li jagowhtíha,ᏌᎶᎵ ᏣᎪᏩᏘᎭ
,salǒ:li jagowhtíha.,ᏌᎶᎵ ᏣᎪᏩᏘᎭ.
,sgǒ:hítsgwa,ᏍᎪᎯᏥᏆ
,sà:gwű u:yő ji:sd.,ᏌᏊ ᎤᏲ ᏥᏍᏚ.
,síyo dé:wid,ᏏᏲ ᏕᏫᏗ
,sú:san ale tó:mas dě:sdádó,ᏑᏌᏃ ᎠᎴ ᏙᎹᏍ ᏕᏍᏓᏙ
,sǒ:gwíl à:nigowhtí,ᏐᏈꮅ ᎠᏂᎪᏩᏘ
,sǒ:gwíli à:nigowhtíha,ᏐᏈᎵ ᎠᏂᎪᏩᏘᎭ
,sǔ:dáli:ne̋ achű:j,ᏑᏓᎵᏁ ᎠᏧᏣ
,tǔ:ya higowhtí,ᏚᏯ ᎯᎪᏩᏘ
,tǔ:ya higowhtíha,ᏚᏯ ᎯᎪᏩᏘᎭ
,u:ne̋:g ada,ᎤᏁᎦ ᎠᏓ
,u:niyő ani:yv:wi áhni yi̋:g,ᎤᏂᏲ ᎠᏂᏴᏫ ᎠᏂ ᏱᎩ
,u:niyő ani:yó:ne:g,ᎤᏂᏲ ᎠᏂᏲᏁᎦ
,uwőhld go:hwe:l,ᎤᏬᎵᏗ ᎪᏪꮅ
,vhla ani:ge:hyű:ja yigv:gigowhtíha,ᎥᏝ ᎠᏂᎨᏳᏣ ᏱᎬᎩᎪᏩᏘᎭ
,vhla ani:ge:hyű:ja yigv:gigowhtíha.,ᎥᏝ ᎠᏂᎨᏳᏣ ᏱᎬᎩᎪᏩᏘᎭ.
,vhla salǒ:li yige:jagowhtíha,ᎥᏝ ᏌᎶᎵ ᏱᎨᏣᎪᏩᏘᎭ
,vhla salǒ:li yige:jagowhtíha.,ᎥᏝ ᏌᎶᎵ ᏱᎨᏣᎪᏩᏘᎭ.
,vhla yige:jagowhtíha na salǒ:li.,ᎥᏝ ᏱᎨᏣᎪᏩᏘᎭ Ꮎ ᏌᎶᎵ.
,vhla yigv:gigowhtíha na ani:ge:hyű:ja.,ᎥᏝ ᏱᎬᎩᎪᏩᏘᎭ Ꮎ ᎠᏂᎨᏳᏣ.
,wahaya ga:hi:gowhtíha,ᏩᎭᏯ ᎦᎯᎪᏩᏘᎭ
,wahaya gv:gigowhtíha,ᏩᎭᏯ ᎬᎩᎪᏩᏘᎭ
,wahya ga:hi:gowhtí,ᏩᏯ ᎦᎯᎪᏩᏘ
,wahya gv:gigowhtí,ᏩᏯ ᎬᎩᎪᏩᏘ
,wě:s ga:ji:gowhtí,ᏪᏌ ᎦᏥᎪᏩᏘ
,wě:sa ga:ji:gowhtíha,ᏪᏌ ᎦᏥᎪᏩᏘᎭ
,yǒ:na hla yijagowhtíha.,ᏲᎾ Ꮭ ᏱᏣᎪᏩᏘᎭ.
,yv́:wúne:g,ᏴᏭᏁᎦ
,yó:ne:g,ᏲᏁᎦ
,yǒ:n,ᏲᎾ
,áhni ji:sd.,ᎠᏂ ᏥᏍᏚ.
,énto:n dà:gwadó,ᎡᏂᏙᏂ ᏓᏆᏙ
,énto:ni dà:gwadó:ʔa,ᎡᏂᏙᏂ ᏓᏆᏙᎠ
,ù:hna u:yő gè:sv̌:g,ᎤᎿ ᎤᏲ ᎨᏒᎩ
,"ù:hna̋ ga:ji:gowhtí, táʔli wě:s","ᎤᎿ ᎦᏥᎪᏩᏘ, ᏔᎵ ᏪᏌ"
,"ù:hna̋ ga:ji:gowhtíha, a:nitáʔli wě:sa","ᎤᎿ ᎦᏥᎪᏩᏘᎭ, ᎠᏂᏔᎵ ᏪᏌ"
,ù:hna̋ jigowhtí,ᎤᎿ ᏥᎪᏩᏘ
,ù:hna̋ jigowhtíha,ᎤᎿ ᏥᎪᏩᏘᎭ
,ù:hna̋. ő:sda sà:gwű jigowhtíha!,ᎤᎿ. ᎣᏍᏓ ᏌᏊ ᏥᎪᏩᏘᎭ!
,ù:hna̋s a:nijo yǒ:n?,ᎤᎿᏍ ᎠᏂᏦ ᏲᎾ?
,ő:sd sǒ:gwíl,ᎣᏍᏓ ᏐᏈᎵ
,ő:sd wě:s gè:sé. u:yő wě:s gè:sé.,ᎣᏍᏓ ᏪᏌ ᎨᏎ. ᎤᏲ ᏪᏌ ᎨᏎ.
