id   |definitiond                                                                                                    |nounadjpluralsyllf|sentenceenglishs                                                                                                                                                             |sentenceq                                                                                  |sentencesyllr                                                                                  |syllabaryb|vfirstpresh    |vsecondimpersylln|vthirdinfsyllp|vthirdpastsyllj|vthirdpressylll|entrytone              |nounadjpluraltone      |vfirstprestone                             |vsecondimpertone                   |vthirdinftone      |vthirdpasttone       |vthirdprestone        |source
72470|he's looking around                                                                                            |                  |I don't want anything. <u>I'm</u> just <u>looking around</u>.                                                                                                                |Hla gohusdi yagwaduli. <u>Jigatenolidoha</u>gwu.                                           |Ꮭ ᎪᎱᏍᏗ ᏯᏆᏚᎵ. <u>ᏥᎦᏖᏃᎵᏙᎭ</u>Ꮚ.                                                                  |ᎠᎦᏖᏃᎭ     |ᏥᎦᏖᏃᎭ          |ᎯᎦᏖᎾᎦ            |ᎤᎦᏖᎾᏍᏗ        |ᎤᎦᏖᏃᎸᎢ         |ᎠᎦᏖᏃᎰᎢ         |a1kte3no.2ha           |                       |ji.2ga1te3no.2ha                           |hi.2kte2na.2ga                     |u2kte23na32sdi     |u1kte23no32lv23?i    |a1kte3no.2ho3?i       |ced
72471|he's peeking through                                                                                           |                  |Someone <u>is peeking</u> through the window.                                                                                                                                |Jolani <u>aktiha</u> kiloi.                                                                |ᏦᎳᏂ <u>ᎠᎦᏘᎭ</u> ᎩᎶᎢ.                                                                           |ᎠᎦᏘᎭ      |ᎦᎦᏘᎭ           |ᎭᎦᏔ              |ᎤᎦᏙᏗ          |ᎤᎦᏔᏅᎢ          |ᎠᎦᏘᏍᎪᎢ         |a1kti.2ha              |                       |ga.2ga1ti.2ha                              |ha.2kta                            |u2ktoh2di          |u1kta.2hnv23?i       |a1kti23sgo.3?i        |ced
72472|1.n.right position, right hand,  2. adj. right-handed                                                          |ᎠᏂᎦᏘᏏ             |He throws a ball with <u>his right hand</u>.                                                                                                                                 |<u>Aktisi</u> gvhdi udego sgwahlesdi.                                                      |<u>ᎠᎦᏘᏏ</u> ᎬᏗ ᎤᏕᎪ ᏍᏆᏞᏍᏗ.                                                                      |ᎠᎦᏘᏏ      |               |                 |              |               |               |a.2kti2si              |a.2ni2kti2si           |                                           |                                   |                   |                     |                      |ced
72473|he's waiting for him/it                                                                                        |                  |<u>Wait for me</u>. I'll be right back.                                                                                                                                      |<u>Sgiktiyesdi</u>. Kilagwu dvjiluhji.                                                     |<u>ᏍᎩᎦᏘᏰᏍᏗ</u>. ᎩᎳᏊ ᏛᏥᎷᏥ.                                                                      |ᎠᎦᏘᏯ      |ᏥᎦᏘᏯ, ᏥᎦᏘᏯ     |ᎯᎦᏘᏓ, ᎯᎦᏘᏓ       |ᎤᎦᏘᏗᏍᏗ        |ᎤᎦᏘᏛᎢ          |ᎠᎦᏘᏲᎢ          |a1kti23ya              |                       |ji2ga1ti23ya, ji.2ga1ti23ya                |hi2ga1ti23da, hi.2kti23da          |u2kti23di32sdi     |u1kti3dv23?i         |a1kti23yo.3?i         |ced
99730|He is watching for him, it.; He is waiting for him, it.; He is watching over him, it                           |                  |And Jehovah saith unto Cain, 'Where [is] Abel thy brother?' and he saith, 'I have not known; my brother's <u>keeper -- I</u>?'                                               |[ᎼᏏ ᎢᎬᏱᏱ 4:9]                                                                              |ᏱᎰᏩᏃ ᎯᎠ ᏄᏪᏎᎴ ᎨᏂ, ᎭᏢ ᎡᏣᏅᏟ ᎡᏈᎵ? ᎯᎠᏃ ᏄᏪᏎᎢ, Ꮭ ᏱᏥᎦᏔᎭ: ᏥᎪ ᎠᏴ ᎥᎩᏅᏟ <u>ᏥᎦᏘᏯ</u>?                       |ᎠᎦᏘᏯ      |ᏥᎦᏘᏯ           |ᎯᎦᏘᏗ             |ᎤᎦᏘᏗᏍᏗ        |ᎤᎦᏘᏛᎢ          |ᎠᎦᏘᏲᎢ          |ạktiya                 |                       |tsịgatiya                                  |hịktidi                            |ụktidịsdi          |ụktidɂv²³ɂi          |ạktiyo³ɂi             |rrd
72474|guard                                                                                                          |ᎠᏂᎦᏘᏱ             |He was chosen to be <u>a guard</u> at the bank.                                                                                                                              |Adela diyhdi <u>aktiyi</u> agasuyesvi.                                                     |ᎠᏕᎳ ᏗᏗ <u>ᎠᎦᏘᏱ</u> ᎠᎦᏑᏰᏒᎢ.                                                                     |ᎠᎦᏘᏱ      |               |                 |              |               |               |a.2kti4yi              |a.2ni2kti4yi           |                                           |                                   |                   |                     |                      |ced
72479|wisdom                                                                                                         |                  |Some Cherokees have <u>wisdom</u>.                                                                                                                                           |Igada Anijalagi <u>aktovhisdi</u> uniha.                                                   |ᎢᎦᏓ ᎠᏂᏣᎳᎩ <u>ᎠᎦᏙᎥᎯᏍᏗ</u> ᎤᏂᎭ.                                                                  |ᎠᎦᏙᎥᎯᏍᏗ   |               |                 |              |               |               |a.2kto.2?v.2hi.3sdi    |                       |                                           |                                   |                   |                     |                      |ced
72476|he's becoming wise                                                                                             |                  |<u>He became wise</u> when he was just a boy.                                                                                                                                |Achujagwu jigesv <u>uktovsvi</u>.                                                          |ᎠᏧᏣᏊ ᏥᎨᏒ <u>ᎤᎦᏙᎥᏒᎢ</u>.                                                                        |ᎠᎦᏙᎲᏍᎦ    |ᏥᎦᏙᎲᏍᎦ         |ᎯᎦᏙᎥᎯ            |ᎤᎦᏙᎥᎯᏍᏗ       |ᎤᎦᏙᎲᏒᎢ         |ᎠᎦᏙᎲᏍᎪᎢ        |a1kto32hv.2sga         |                       |ji.2ga1to32hv.2sga                         |hi.2kto.2?v.2hi                    |u2kto.2?v.3hi.3sdi |u1kto32hv.2sv23?i    |a1kto32hv.2sgo3?i     |ced
72477|his eye                                                                                                        |ᏗᎦᏙᎵ              |<u>His</u> right <u>eye</u> is always bothering him.                                                                                                                         |Aktisi <u>aktoli</u> nigohilv udehyahtohdisgoi.                                            |ᎠᎦᏘᏏ <u>ᎠᎦᏙᎵ</u> ᏂᎪᎯᎸ ᎤᏕᏯᏙᏗᏍᎪᎢ.                                                                |ᎠᎦᏙᎵ      |               |                 |              |               |               |a.2kto4li              |di2kto4li              |                                           |                                   |                   |                     |                      |ced
99731|His eye                                                                                                        |ᏗᏥᎦᏙᎵ             |“It had <u>eyes</u> lifted up to Heaven.”                                                                                                                                    |[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]                                                                              |<u>ᏗᎦᏙᎵ</u> ᎦᎸᎳᏗ ᏧᏫᏓᎧᏃ ᎾᏍᎩᏯ ᏂᏚᏩᏅᎩ.                                                             |ᎠᎦᏙᎵ      |               |                 |              |               |               |ạktoli                 |dịtsịktoli             |                                           |                                   |                   |                     |                      |rrd
