ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
||||||ᎥᏍᎩᎾᎲ?; ᎾᏍᎩᎲ?|v̀:sginahv?; nà:sgihv?|But for him or them?|||

||||||ᎠᏍᎦᏯᎾ?|asgayana?|What of a man?|||
||||||ᎯᎠᎾ?; ᎯᎢᎾ?|hiʔana?; hiʔina?|What of this?|||

||||||ᎩᏟᏍᎪ?; ᎩᏟᏍ?|gi:hlisgo?; gi:hlis?|Is it a dog? Dogs?|||
||||||ᎾᏍᎪ?; ᎾᏍ?|nasgo?; nas?|Is it that?|||
||||||ᎯᎠᏍᎪ?; ᎯᎢᏍᎪ?; ᎯᎠᏍ?; ᎯᎢᏍ?|hiʔasgo?; hiʔisgo?; hiʔas?; hiʔis?|Is it this?|||

||||||ᎠᎭᏫᏊ.; ᎠᏫᏊ.|ahawigwu.; ahwigwu.|Just a deer. Just deer.|||
||||||ᎥᏍᎩᎾᏊ.; ᏍᎩᎾᏊ.; ᎾᏍᎩᏊ.|v̀:sginagwu.; sginagwu.; nà:sgigwu.|Just him or them.|||
||||||ᎯᎠᏊ.; ᎯᎢᏊ.|hiʔagwu.; hiʔigwu.|Just this.|||

||||||ᏩᎭᏯᏧ?; ᏩᏯᏧ|wahayagwuju?; wahyagwuju?|It's just a wolf, right?|||
||||||ᎾᏧ.|naju.|It's that, right?|||
||||||ᎯᎠᏧ.; ᎯᎢᏧ.|hiʔaju.; hiʔiju.|It's this, right?|||

||||||Ꮭ ᎠᎨᏯ ᏱᎩ. ᎠᏍᎦᏯ.; Ꮭ ᎠᎨᏯ Ᏹg. ᎠᏍᎦᎢ.|hla agě:hya yi̋:gi. asgaya.; hla agě:hya yi̋:g. asgai.|It isn't a woman. It's a man.|||
*||||||Ꮭ ᎠᏍᎦᏯ ᏱᎩ. ᎠᎨᏯ.; Ꮭ ᎠᏍᎦᏯ ᏱᎩ. ᎠᎨᏯ.|hla asgaya yi̋:gi. agě:hya.; hla asgai yi̋:g. agě:hya.|It isn't a man. It's a woman.|||
||||||Ꮭ ᎩᏟ ᏱᎩ. ᏪᏌ.; Ꮭ ᎩᏟ Ᏹg. ᏪᏍ.|hla gi:hli yi̋:gi. wě:sa.; hla gi:hli yi̋:g. wě:s.|It isn't a dog. It's a cat.|||
||||||ᏝᏍᎪ ᎠᎭᏫ ᏱᎩ; ᏝᏍ ᎠᏫ Ᏹg?|hlasgo ahawi yi̋:gi; hlas ahwi yi̋:g?|It isn't a deer, is it?|||
||||||ᏝᏧ ᏩᎭᏯ ᏱᎩ; ᏝᏧ ᏩᏯ Ᏹg?|hlaju wahaya yi̋:gi; hlaju wahya yi̋:g?|It isn't a wolf. Right?|||

||||||ᏗᏥᎪᎵᏯ.|dì:jigo:lǐ:ya.|let you all read them.|||
||||||ᏗᏣᏛᏓᏍᏓ|dì:jà:tv:dà:sda|let you all listen to them.||Complete the lesson material through the end of chapter 9.|

#Chapter 10 ᏍᎪᎯᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
*||||||ᎺᎵ, ᏙᎾᏓᎪᎲᎢ|mé:li, do:nada:go:hv:ʔi|Mary, let us two see each other again later.”|||
*||||||ᏂᎯ ᎠᎴ ᏑᏌᏃ, ᏙᏓᏓᎪᎲᎢ|nihi ale sú:sano, do:dada:go:hv:ʔi|You and Susan, let us all see each other again later.|||

||||||ᎠᏂᎠᎭᏫ; ᎠᏂᎠᏫ|à:ni:ʔahawi; à:ni:ʔahwi|“The deer people.”|||
||||||ᎠᏂᎩᏟ|à:ni:gi:hli|“The dog people.”|||
||||||ᎠᏂᏥᏍᏚ; ᎠᏂᏥᏍd|à:ni:ji:sdu; à:ni:ji:sd|“The rabbit people.”|||
||||||ᎠᏂᏩᎭᏯ; ᎠᏂᏩᏯ|à:ni:wahaya; à:ni:wahya|“The wolf people.”|||
||||||ᎠᏂᏪᏌ; ᎠᏂᏪᏍ|à:ni:wě:sa; à:ni:wě:s|“The cat people.”|||

||||||ᏣᏂ, ᏛᎬᎪᎯ; Ꮳn, ᏛᎬᎪᎯ|já:ni, dv:gv:go:hi; já:n, dv:gv:go:hi|“John, I will see you again.”|||
||||||ᏣᏂ, ᏛᏍᎩᎪᎯ; Ꮳn, ᏛᏍᎩᎪᎯ|já:ni, dv:sgi:go:hi; já:n, dv:sgi:go:hi|“John, You will see me again.”|||

||||||ᎵᏂᏓ ᎠᎴ ᎹᎦᎵ, ᏛᏍᏛᎪᎯ; ᎵᏂd ᎠᎴ ᎹᎦꮅ, ᏛᏍᏛᎪᎯ|lí:nida ale ma:gá:li, dv:sdv:go:hi; lí:nid ale ma:gá:l, dv:sdv:go:hi|“Linda and Michael, I will see you two again.”|||
||||||ᎠᎵᏌᏇᏘ, ᏛᏍᎩᏂᎪᎯ, ᎡnᏙᏂ ᎠᎴ ᎠᏴ.; ᎠᎵᏌᏇt, ᏛᏍᎩᏂᎪᎯ, ᎡnᏙn ᎠᎴ ᎠᏴ.|a:lí:sa:gwe:ti, dv:sgini:go:hi, énto:ni ale ayv.; a:lí:sa:gwe:t, dv:sgini:go:hi, énto:n ale ayv.|Elizabeth, you will see us two again, Anthony and me.|||
||||||ᎵᏂᏓ ᎠᎴ ᎹᎦᎵ, ᏛᏍᎩᏂᎪᎯ; ᎵᏂd ᎠᎴ ᎹᎦꮅ, ᏛᏍᎩᏂᎪᎯ|lí:nida ale ma:gá:li, dv:sgini:go:hi; lí:nid ale ma:gá:l, dv:sgini:go:hi|Linda and Michael, You two will see me again|||

||||||ᏂᎦᏓ ᏂᎯ, ᏛᎢᏨᎪᎯ; ᏂᎦd ᏂᎯ, ᏛᎢᏨᎪᎯ|niga̋:da nihi, dv:ʔì:jv:go:hi; niga̋:d nihi, dv:ʔì:jv:go:hi|I will see you all again.|||
||||||ᏂᎦᏓ ᎠᏴ ᏛᎢᏨᎪᎯ; ᏂᎦd ᎠᏴ ᏛᎢᏨᎪᎯ|niga̋:da ayv dv:ʔì:jv:go:hi; niga̋:d ayv dv:ʔì:jv:go:hi|“All of us will see you again.”|||

||||||ᏛᎢᏍᎩᎪᎯ, ᏂᎦᏓ ᎠᏴ.; ᏛᎢᏍᎩᎪᎯ, ᏂᎦd ᎠᏴ.|dv:ʔì:sgi:go:hi, niga̋:da ayv.; dv:ʔì:sgi:go:hi, niga̋:d ayv.|You will see all of us again.|||
||||||ᏂᎦᏓ ᏂᎯ, ᏛᎢᏍᎩᎪᎯ; ᏂᎦd ᏂᎯ, ᏛᎢᏍᎩᎪᎯ|niga̋:da nihi, dv:ʔì:sgi:go:hi; niga̋:d nihi, dv:ʔì:sgi:go:hi|You all will see me again.||Complete the lesson material through the end of chapter 10.|

#Chapter 11 ᏌᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
||||||ᎦᏙ ᎠᏛᏁᎭ ᎠᎨᏳᏣ?; ᎦᏙ ᎠᏛᏁ ᎠᎨᏳj?; Ꮩ ᎠᏛᏁ ᎠᎨᏳj?|gadō à:dv́:neha age:hyű:ja?; gadō à:dv́:ne age:hyű:j?; dō à:dv́:ne age:hyű:j?|What is the girl doing?|||
||||||ᏦᎦᏚ ᎠᏂᎨᏳᏣ ᎠᎭᏂ.; ᏦᎦd ᎠᏂᎨᏳj ᎠᏂ.|joʔga:ʔdu ani:ge:hyű:ja áhani.; joʔga:ʔd ani:ge:hyű:j áhni.|Thirteen girls are here.|||
||||||ᎦᏙ ᎠᏛᏁᎭ ᎠᏧᏣ?; ᎦᏙ ᎠᏛᏁ ᎠᏧj?; Ꮩ ᎠᏛᏁ ᎠᏧj?|gadō à:dv́:neha achű:ja?; gadō à:dv́:ne achű:j?; dō à:dv́:ne achű:j?|“What is the boy doing?”|||
||||||ᎦᏙ ᎠᎾᏛᏁᎭ ᎠᏂᏧᏣ?; ᎦᏙ ᎠᎾᏛᏁ ᎠᏂᏧj?; Ꮩ ᎠᎾᏛᏁ ᎠᏂᏧj?|gadō à:na:dv́:neha ani:chű:ja?; gadō à:na:dv́:ne ani:chű:j?; dō à:na:dv́:ne ani:chű:j?|“What are the boys doing?”|||

||||||ꮅᎬᎢ ᏥᎪwᏘᎭ; ꮅᎬ ᏥᎪwᏘ|hlgv̋:ʔi jigowhtíha; hlgv̋ jigowhtí|“I see a tree.”|||
||||||ᏕꮅᎬᎢ ᏓᏂᎪwᏘᎭ; ᏕꮅᎬ ᏓᏂᎪwᏘ|dě:hlgv̋:ʔi dà:nigowhtíha; dě:hlgv̋ dà:nigowhtí|“They see trees.”|||

||||||ᏌᏚ|sa:ʔdu|Eleven.|||
||||||ᏣᏁᎳ; ᏣᏁꮅ; ᏧᏁᎳ; ᏧᏁꮅ|chaně:la; chaně:l; chuně:la; chuně:l|Eight.|||
||||||ᏐᏁᎳ; ᏐᏁꮅ|sóhně:la; sóhně:l|Nine.|||
||||||ᏍᎪᎯ.|sgǒ:hi.|Ten|||
||||||ᏔꮅᏚ|taʔldu|Twelve.|||
||||||Ꮓt|nò:t|“Naught. Zero.”|||
||||||ᎧᏂᎩᏓ|ka:nǐgîda|“Nothing. Zero.” |||
||||||ᏂᎦᏚ|niga:ʔdu|“Fourteen.”|||
||||||ᏍᎩᎦᏚ|sgiga:ʔdu|“Fifteen.”|||
||||||ᏓᎳᏚ|da:la:du|“Sixteen.”|||
||||||ᎦꮅᏆᏚ|gahlgwǎ:du|“Seventeen.”|||
||||||ᏁᎳᏚ|ně:la:du|“Eighteen.”|||
||||||ᏐᏁᎳᏚ|sóhněla:du|“Nineteen.”|||
||||||ᏔꮅᏍᎪᎯ|táʔlsgǒ:hi|“Twenty.”|||
||||||ᏦᏍᎪᎯ|joʔsgǒ:hi|“Thirty.”|||
||||||ᏅkᏍᎪᎯ|nvksgǒ:hi|“Forty.”|||
||||||ᎯkᏍᎪᎯ|hiksgǒ:hi|“Fifty.”|||
||||||ᏑᏓꮅᏍᎪᎯ|sǔ:dálsgǒ:hi|“Sixty.”|||
||||||ᎦꮅᏆᏍᎪᎯ|gahlgwǎ:sgǒ:hi|“Seventy.”|||
||||||ᏁꮅᏍᎪᎯ|nélsgǒ:hi|“Eighty.”|||
||||||ᏐᏁꮅᏍᎪᎯ|sóhnélsgǒ:hi|“Ninety.”|||
||||||ᏍᎪᎯtᏍᏆ|sgǒ:hítsgwa|“One hundred.”||Complete the lesson material through the end of chapter 11.|

#Chapter 12 ᏔᎳᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ|||

||||||ᎯᎳᏴᎢ?; ᎯᎳᏴ?|hilâ:yv̋:ʔi?; hilâ:yv̋?|“When?”|||
||||||ᎦᎪ?|gá:gō?|“Who?”|||
||||||ᎦᎩ?|gâ:gí?|“Who again?”|||
||||||ᎦᏙ?; Ꮩ?|gadò?; dò?|“What?”|||
||||||ᎦᏙᎩ?; ᏙᎩ?|gadògí?; dògí?|“What again?”|||
||||||ᎦᏙ ᎤᏍᏗ?; Ꮩ ᎤᏍd?|gadō u:sdi?; dō u:sd?|“What?” “What thing?”|||

||||||ᎦᏙᎲ|gadò:hv̋|“Why?”|||

||||||ᎡnᏙᏂ ᏓᏆᏙᎠ; ᎡnᏙn ᏓᏆᏙ|énto:ni dà:gwadó:a; énto:n dà:gwadó|“Anthony is what I am called.”|||
||||||ᎵᏂᏓ ᎠᎴ ᎹᎦᎵ ᏙᎩᎾᏙᎠ; ᎵᏂd ᎠᎴ ᎹᎦꮅ ᏙᎩᎾᏙ|lí:nida ale ma:gá:li dò:gi:nadó:a; lí:nid ale ma:gá:l dò:gi:nadó|“Linda and Michael are what we two are called.”|||
||||||ᎹᎦᏰᏘ, ᎺᎵ, ᎠᎴ ᏆᏆᎠ ᏙᎦᏙᎠ; ᎹᎦᏰt, Ꮊꮅ, ᎠᎴ ᏆᏆ ᏙᎦᏙ|má:gaye:ti, mé:li, ale gwa:gwaʔa dò:gadó:a; má:gaye:t, mé:l, ale gwa:gwa dò:gadó|“Margaret, Mary, and Barbara are what we all are called.”|||
||||||ᎠᎵᏌᏇᏘ ᏕᏣᏙᎠ; ᎠᎵᏌᏇt ᏕᏣᏙ|a:lí:sa:gwe:ti dě:jádó:ʔa; a:lí:sa:gwe:t dě:jádó|“Elizabeth is what you are called.”|||
||||||ᏑᏌᏃ ᎠᎴ ᏙᎹᏏ ᏕᏍᏓᏙᎠ; ᏑᏌn ᎠᎴ ᏙᎹᏍ ᏕᏍᏓᏙ|sú:sano ale tó:masi dě:sdádó:ʔa; sú:san ale tó:mas dě:sdádó|“Susan and Thomas are what you two are called.”|||
||||||ᏕᏫᏗ, ᏣᎵ, ᎠᎴ ᏣᏂ ᏕᏣᏙᎠ; ᏕᏫd, ᏣᎵ, ᎠᎴ Ꮳn ᏕᏣᏙ|dé:widi, chá:li, ale já:ni dè:jádó:ʔa; dé:wid, chá:li, ale já:n dè:jádó|“David, Charles, and John are what you all are called.”|||

||||||ᏩᎭᏯ ᏚᏙᎠ; ᏩᏯ ᏚᏙ|wahaya dù:dó:ʔa; wahya dù:dó|“Wolf is what he is called.”|||
